city,state,event,summary,date-of-event,event-picture-caption,event-picture-link,lat,lon
Asheville,North Carolina,Flooding,An aerial view of flood damage along the French Broad River in the aftermath of Hurricane Helene on Oct. 2 2024 in Asheville North Carolina.,2024-10-02,Flood damage along the French Broad River in Asheville North Carolina,https://i.abcnewsfe.com/a/dfb21bfb-f0b0-4919-94bb-087c2b15cc27/helene-8-gty-gmh-241002_1727896573512_hpMain_16x9.jpg?w=992,35.5951,-82.5515
Burnsville,North Carolina,Damage,An upside-down car covered by pieces of tree is left on the side of a road in the aftermath of Hurricane Helene in Burnsville North Carolina on October 5 2024.,2024-10-05,Damage in Burnsville North Carolina,https://i.abcnewsfe.com/a/d673d859-04fb-4cc1-8a3a-945063f442c8/helene-damage_1728202464466_hpEmbed_3x2.jpg,35.9234,-82.3015
Tampa Bay,Florida,Hurricane,Hurricane Helene is expected to make landfall in the southeastern portion of the United States on September 26. The storm is expected to impact the Gulf Coast Florida South Carolina Georgia Tennessee and more southern states later this week.,2024-09-26,Hurricane Ian moves toward Florida on September 28 2022 in the Gulf of Mexico.,https://hollywoodlife.com/wp-content/uploads/2024/09/GettyImages-1243570665_180ee0-e1727188213128.jpeg?resize=384%2C216,27.9703,-82.4584
Perry,Florida,Landfall,Hurricane Helene made landfall as a Category 4 storm on Thursday near the city of Perry in Florida's Big Bend area.,2024-09-26,Hurricane Helene makes landfall in Florida,https://www.forbes.com/images/124.jpg,29.5733,-83.5833
Asheville,North Carolina,Flooding,Mandatory evacuations were ordered in Asheville and McDowell counties in North Carolina as rivers and reservoirs are expected to swell from heavy rainfall.,2024-09-27,Flooding in Asheville North Carolina,https://www.forbes.com/images/125.jpg,35.5951,-82.5515
Louisville,Kentucky,Flooding,The center of Helene which became post-tropical Friday afternoon was located about 50 miles south-southeast of Louisville Kentucky as of 5 p.m. EDT on Friday.,2024-09-27,Flooding in Louisville Kentucky,https://www.forbes.com/images/126.jpg,38.2527,-85.7585
Lake Lure,North Carolina,Dam Failure,Officials have said failure of the Lake Lure Dam is 'imminent' and have urged any residents to evacuate and seek higher ground.,2024-09-27,Lake Lure Dam failure imminent,https://www.forbes.com/images/127.jpg,35.4333,-82.2167
Tallahassee,Florida,Postponed Football Game,The Florida A&M; Rattlers' Southwestern Athletic Conference home opener against the Alabama A&M; Bulldogs has been postponed due to Hurricane Helene. The game will now be played on Friday Nov. 29 at Bragg Memorial Stadium.,2024-09-24,FAMU football's SWAC home opener vs Alabama A&M; postponed due to Hurricane Helene,https://www.gannett-cdn.com/authoring/authoring-images/2024/04/11/PTAL/73291396007-172-acfc-6211-c-4-d-928-e-8-f-46-ac-979-e-2-c-68.jpeg?crop=1125632x64y0,30.4513,-84.2807
Tallahassee,Florida,Campus Closure,The Florida A&M; campus will be closed from Wednesday to Friday due to Hurricane Helene. Classes were also canceled from 12:15 p.m. on Tuesday.,2024-09-24,,,30.4513,-84.2807
Florida,Florida,Hurricane,Tropical Storm Helene is projected to become a hurricane before hitting Florida on Thursday. Hurricane and Storm Surge Watches have been put in place for the Gulf Coast of Florida. The storm is expected to bring heavy rain life-threatening storm surge and damaging hurricane-force winds to the northeastern Gulf Coast.,2024-09-24,Rain during Hurricane Debby,https://www.disneyfoodblog.com/wp-content/uploads/2024/08/2024-wdw-transportation-and-ticket-center-TTC-monorail-during-hurricane-Debby-rainy-day.jpg,27.6648,-81.5158
Florida,Florida,Hurricane,Tropical Storm Helene formed in the Caribbean and is forecast to hit the United States as a major Category 3 hurricane on Thursday night. The National Hurricane Center issued hurricane watches for Florida's Gulf Coast and warned of a potential storm surge of up to 15 feet near its expected landfall.,2024-09-24,Tropical Storm Helene cone of uncertainty as of 11 a.m. Tuesday Sept. 24 2024.,https://www.bostonherald.com/wp-content/uploads/2024/09/tropics11am0924.jpg?fit=620%2C9999px&ssl=1,27.6648,-81.5158
Valdosta,Georgia,Tree fell on house,A 100-year-old home was damaged when an Oak tree landed on it after Hurricane Helene moved through. Two casualties were confirmed in Georgia after a tornado touched down in Wheeler County.,2024-09-27,Ronda Bell looks on after an Oak tree landed on her 100-year-old home after Hurricane Helene moved through,https://api.time.com/wp-content/uploads/2024/09/hurricane-helene-tracker-03.jpg?quality=85&w=2400,30.8324,-83.2807
Crystal River,Florida,Flooding,Jamir Lewis wades through floodwaters with his two daughters Nylah and Aria in the aftermath of Hurricane Helene.,2024-09-27,Jamir Lewis wades through floodwaters with his two daughters Nylah and Aria in the aftermath of Hurricane Helene,https://api.time.com/wp-content/uploads/2024/09/hurricane-helene-tracker-02.jpg?quality=75&w=2400,28.9022,-82.5973
Tarpon Springs,Florida,Flooding,Flood waters inundate the streets of Tarpon Springs Fla. after Hurricane Helene passed offshore.,2024-09-27,Flood waters inundate the streets of Tarpon Springs Fla. after Hurricane Helene passed offshore,https://api.time.com/wp-content/uploads/2024/09/hurricane-helene-tracker-01.jpg?quality=75&w=2400,28.1467,-82.7565
Cuba,,Flooding,People walk through a flooded street in Cuba on Sept. 26 2024 in the aftermath of Hurricane Helene.,2024-09-26,People walk through a flooded street in Cuba on Sept. 26 2024 in the aftermath of Hurricane Helene,https://api.time.com/wp-content/uploads/2024/09/hurricane-helene-tracker-04.jpg?quality=75&w=2400,22.3543,-79.8663
Florida Panhandle,Florida,Hurricane,Tropical Storm Helene is forecast to rapidly intensify as it approaches the southeastern United States posing significant threats to the Florida Panhandle and west coast.,2024-09-24,Hurricane Helene 5-day cone Sep 24,https://gcaptain.com/wp-content/uploads/2024/09/154152_5day_cone_no_line_and_wind.png,30.0000,-85.0000
Western Cuba,,Tropical Storm,Helene is expected to bring tropical storm conditions to western Cuba and the northeastern Yucatan Peninsula.,2024-09-24,,,22.0000,-79.0000
Gulf of Mexico,,Offshore Impact,The U.S. Bureau of Safety and Environmental Enforcement (BSEE) has activated its Hurricane Response Team and is monitoring offshore oil and gas operators in the Gulf of Mexico in response to the storm.,2024-09-24,,,28.0000,-90.0000
Orlando,Florida,Tropical Storm,Tropical Storm Helene is forecast to become a major Category 3 hurricane before making landfall in Florida on September 26 2024. The National Weather Service has issued inland tropical storm watches for most of Central Florida including Lake Marion Polk Seminole Sumter Orange and Osceola counties. Walt Disney World has not announced any closures or operational impacts due to the storm.,2024-09-26,Tropical Storm Helene,https://www.disneytouristblog.com/wp-content/uploads/2024/09/tropical-storm-helene-hurricane-major-disney-world-2.png,28.5384,-81.3792
Perry,Florida,Hurricane Landfall,Hurricane Helene made landfall as a powerful Category 4 storm along Florida's Big Bend coast late Thursday night then quickly lost punch and was downgraded to a tropical storm within hours.,2024-09-26,Hurricane Helene makes landfall in Florida,https://assets3.cbsnewsstatic.com/hub/i/r/2024/09/27/b2eb3271-d500-457b-a46b-0a466c25c59a/thumbnail/620x357/c080cbcbde29152217f6ebb2a3cd0dcc/hurricane-helene-536a-092724.jpg?v=379420b9063a2aadbcd559df18e2d1ae#,30.1149,-83.5801
Bryson City,North Carolina,Tropical Storm,As of 11 a.m. EDT Helene was approximately 30 miles southwest of Bryson City North Carolina and was racing north at 32 mph the Miami-based hurricane center said. It was packing maximum sustained winds of 45 mph.,2024-09-27,Tropical Storm Helene moves through North Carolina,https://assets3.cbsnewsstatic.com/hub/i/r/2024/09/27/b2eb3271-d500-457b-a46b-0a466c25c59a/thumbnail/620x357/c080cbcbde29152217f6ebb2a3cd0dcc/hurricane-helene-536a-092724.jpg?v=379420b9063a2aadbcd559df18e2d1ae#,35.4307,-83.4437
Western North Carolina,North Carolina,Flooding,Parts of the Southeast and Southern Appalachians could see total rain accumulations of 6 to 12 inches with some areas getting up to 20 inches forecasters said bringing flooding across the region and a threat of landslides in steep terrain.,2024-09-27,Flooding in Western North Carolina,https://assets2.cbsnewsstatic.com/hub/i/r/2024/09/27/0964533f-67e3-42db-a190-39747c261bea/thumbnail/620x498/05953f6dfbc84dce8c05556399ded65c/flood-map.jpg?v=379420b9063a2aadbcd559df18e2d1ae#,35.4307,-83.4437
Florida Keys,Florida,Cocaine packages washed ashore,25 packages of cocaine totaling up to 70 pounds were discovered on a beach in the Florida Keys. The packages have a street value of up to $1 million.,2024-08-19,Cocaine packages washed ashore in the Florida Keys,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/1536x1536+84+0/resize/100/quality/15/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F5e%2Fe3%2F1bc765b24d618a961bb7e7d50285%2Fcoacine.jpg,24.5553,-81.7801
Florida Panhandle,Florida,Tropical Storm Helene,Tropical Storm Helene is expected to reach hurricane strength with wind strengths of 115 mph by Wednesday. It's trajectory threatens the Florida panhandle which forecasters say could be hit on Thursday.,2024-09-24,Forecasters upgraded Helene to a tropical storm with expected growth to a strong hurricane in the second half of this week.,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/897x738+0+0/resize/1100/quality/85/format/png/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F9c%2F6a%2F9e7cc5a047e4bace08a1f9479f93%2Fimage-1.png,30.4579,-87.2169
Perry,Florida,Landfall,Hurricane Helene made landfall near Perry Florida on Thursday evening as a Category 4 storm. With winds of 140 miles per hour it’s the strongest hurricane on record to slam into Florida’s Big Bend.,2024-09-26,Hurricane Helene makes landfall in Florida,https://www.apnews.com/images/123.jpg,29.7743,-83.5803
Tampa,Florida,Storm Surge,The Tropical Storm Warning has been extended northward to Altamaha Sound Georgia. On the forecast track the center of Helene will pass near the northeastern coast of the Yucatan Peninsula this morning move across the eastern Gulf of Mexico later today and Thursday and reach the Big Bend coast of Florida late Thursday.,2024-09-26,Tropical Storm Helene approaches Florida,https://www.apnews.com/images/124.jpg,27.9703,-82.4584
Acapulco,Mexico,Landfall,Hurricane John made landfall on Mexico's southern Pacific coast late Monday evening about 80 miles east of the resort of Acapulco as a Category 3 storm. Winds were reported up to 120 miles per hour (mph) before the storm began weakening back to tropical storm status early Tuesday.,2024-09-24,Hurricane John makes landfall in Mexico,https://www.apnews.com/images/125.jpg,16.8633,-99.8878
Macon,Georgia,Storm Surge,The storm is moving toward the north near 30 mph. A turn toward the north is expected this morning taking the center over central and northeastern Georgia. After that the storm is expected to turn northwestward and slow down over the Tennessee Valley later today and Saturday.,2024-09-27,Tropical Storm Helene approaches Georgia,https://www.apnews.com/images/126.jpg,32.8407,-83.6324
Asheville,North Carolina,Flooding,Floodwaters left North Carolina's largest mountain city isolated Saturday by damaged roads and a lack of power and cellphone service.,2024-09-29,Flooding in Asheville,https://d3i6fh83elv35t.cloudfront.net/static/2024/09/GettyImages-2174714706-1024x683.jpg,35.5951,-82.5515
Tampa,Florida,Flooding,Ten of the 11 people who died in Florida as a result of Hurricane Helene lived in the Tampa Bay area officials said Saturday.,2024-09-29,Flooding in Tampa,https://d3i6fh83elv35t.cloudfront.net/static/2024/09/2024-09-27T141128Z_2023882765_RC219AA9YM33_RTRMADP_3_STORM-HELENE-1024x575.jpg,27.9506,-82.4572
Augusta,Georgia,Water shutoff,In Augusta in eastern Georgia near the border with South Carolina officials notified residents Sunday morning that water service would be shut off for 24 to 48 hours in the city and surrounding Richmond County.,2024-09-29,Water shutoff in Augusta,https://d3i6fh83elv35t.cloudfront.net/static/2024/09/2024-09-28T011909Z_697168301_RC2D9AA7P2JH_RTRMADP_3_STORM-HELENE-TENNESSEE-FLOODING-1024x575.jpg,33.4709,-81.9749
Newport,Tennessee,Flooding,The threat of a potential dam collapse in eastern Tennessee near the North Carolina border was easing on Saturday morning.,2024-09-29,Flooding in Newport,https://d3i6fh83elv35t.cloudfront.net/static/2024/09/2024-09-28T011909Z_697168301_RC2D9AA7P2JH_RTRMADP_3_STORM-HELENE-TENNESSEE-FLOODING-1024x575.jpg,35.9615,-83.1857
Boone,North Carolina,Flooding,Rescuers save 41 people in one mission near Asheville as well as rescuing an infant.,2024-09-29,Flooding in Boone,https://d3i6fh83elv35t.cloudfront.net/static/2024/09/AftertheStorm-2-1024x683.jpg,36.2165,-81.6743
Lake Lure,North Carolina,Flooding,The Rocky Broad River flows into Lake Lure and overflows the town with debris from Chimney Rock North Carolina after heavy rains from Hurricane Helene.,2024-09-29,Flooding in Lake Lure,https://d3i6fh83elv35t.cloudfront.net/static/2024/09/GettyImages-2174269863-1024x683.jpg,35.4265,-82.2043
Anderson,South Carolina,Flooding,A large oak lies on a home after it fell due to Tropical Storm Helene in Anderson South Carolina.,2024-09-29,Flooding in Anderson,https://d3i6fh83elv35t.cloudfront.net/static/2024/09/2024-09-27T141128Z_2023882765_RC219AA9YM33_RTRMADP_3_STORM-HELENE-1024x575.jpg,34.5034,-82.6501
Perry,Florida,Landfall,Hurricane Helene made landfall as a Category 4 storm on Thursday near the city of Perry in Florida's Big Bend area.,2024-09-26,Hurricane Helene makes landfall in Florida,https://www.forbes.com/images/124.jpg,29.5733,-83.5833
Asheville,North Carolina,Flooding,Mandatory evacuations were ordered in Asheville and McDowell counties in North Carolina as rivers and reservoirs are expected to swell from heavy rainfall.,2024-09-27,Flooding in Asheville North Carolina,https://www.forbes.com/images/125.jpg,35.5951,-82.5515
Louisville,Kentucky,Flooding,The center of Helene which became post-tropical Friday afternoon was located about 50 miles south-southeast of Louisville Kentucky as of 5 p.m. EDT on Friday.,2024-09-27,Flooding in Louisville Kentucky,https://www.forbes.com/images/126.jpg,38.2527,-85.7585
Lake Lure,North Carolina,Dam Failure,Officials have said failure of the Lake Lure Dam is 'imminent' and have urged any residents to evacuate and seek higher ground.,2024-09-27,Lake Lure Dam failure imminent,https://www.forbes.com/images/127.jpg,35.4333,-82.2167
Orlando,Florida,Tropical Storm Helene,A State of Emergency has been declared for 61 out of 67 Florida counties including the area where Disney World is located due to Tropical Storm Helene. The storm is expected to bring heavy rain and gusty winds to the area.,2024-09-24,Tropical Storm Helene,https://allears.net/wp-content/uploads/2024/08/2024-wdw-dak-tropical-storm-debby-rain-storm-atmo-crowds-ponchos_-700x394.jpg,28.5383,-81.3792
Cape Canaveral,Florida,Launch Delay,Tropical Storm Helene has delayed the launch of SpaceX's Crew-9 astronaut mission to the International Space Station. The mission was originally scheduled to launch on September 26 but has been rescheduled for September 28.,2024-09-24,SpaceX Falcon 9 rocket and Crew Dragon capsule on the launch pad at Cape Canaveral Space Force Station in Florida.,https://cdn.mos.cms.futurecdn.net/2vodiFzkx5vu298brxFbEj-320-80.jpg,28.3922,-80.6077
Caribbean Sea,,Tropical Storm,Tropical Storm Helene was captured swirling over the Caribbean Sea on Tuesday September 24 as hurricane and storm warnings were in effect for parts of the Florida Gulf Coast.,2024-09-24,Tropical Storm Helene swirling over the Caribbean Sea,https://s.yimg.com/os/creatr-uploaded-images/2020-11/b720f0d0-2e9b-11eb-bfd9-6f9a1229c13c,15.0000,-75.0000
Florida,Florida,Hurricane,Florida has declared a state of emergency for 41 of the state's 67 counties ahead of Hurricane Helene potentially making landfall as it heads west through the Caribbean.,2024-09-24,Hurricane Helene Heads Towards Florida's Big Bend Region,https://thepointsguy.global.ssl.fastly.net/us/originals/2024/09/GettyImages-2165384477.jpg,27.6648,-81.5158
New Orleans,Louisiana,Platform shutdown,Shell shut down production at a platform about 200 miles southwest of New Orleans due to the storm's forecasted track.,2024-09-24,Shell platform shutdown,,29.9546,-90.0751
Mobile,Alabama,Port restrictions,The U.S. Coast Guard imposed restrictions for vessel navigation at the port of Mobile due to the storm.,2024-09-24,Port of Mobile restrictions,,30.6953,-88.0381
Pensacola,Florida,Port restrictions,The U.S. Coast Guard imposed restrictions for vessel navigation at the port of Pensacola due to the storm.,2024-09-24,Port of Pensacola restrictions,,30.4213,-87.2169
Panama City,Florida,Port restrictions,The U.S. Coast Guard imposed restrictions for vessel navigation at the port of Panama City due to the storm.,2024-09-24,Port of Panama City restrictions,,30.1581,-85.6603
St. Joe,Florida,Port restrictions,The U.S. Coast Guard imposed restrictions for vessel navigation at the port of St. Joe due to the storm.,2024-09-24,Port of St. Joe restrictions,,29.8108,-85.3803
Tampa Bay,Florida,Tropical Storm,Tropical Storm Helene is forecast to rapidly intensify on its path to Florida's Gulf Coast. The storm is expected to bring heavy rain and strong winds to the area.,2024-09-24,Tropical Storm Helene,,27.9703,-82.4526
Florida,Florida,Hurricane Watch,A hurricane watch has been issued for much of Florida's Gulf Coast due to Tropical Storm Helene. The storm is expected to bring heavy rain and strong winds to the area.,2024-09-24,Hurricane Watch,,27.6648,-81.5158
Florida,Florida,State of Emergency,Florida has declared a state of emergency due to Tropical Storm Helene. The storm is expected to bring heavy rain and strong winds to the area.,2024-09-24,State of Emergency,,27.6648,-81.5158
Perry,Florida,Landfall,Hurricane Helene made landfall as a Category 4 storm on Thursday near the city of Perry in Florida's Big Bend area.,2024-09-26,Hurricane Helene makes landfall in Florida,https://www.forbes.com/images/124.jpg,29.5733,-83.5833
Asheville,North Carolina,Flooding,Mandatory evacuations were ordered in Asheville and McDowell counties in North Carolina as rivers and reservoirs are expected to swell from heavy rainfall.,2024-09-27,Flooding in Asheville North Carolina,https://www.forbes.com/images/125.jpg,35.5951,-82.5515
Louisville,Kentucky,Flooding,The center of Helene which became post-tropical Friday afternoon was located about 50 miles south-southeast of Louisville Kentucky as of 5 p.m. EDT on Friday.,2024-09-27,Flooding in Louisville Kentucky,https://www.forbes.com/images/126.jpg,38.2527,-85.7585
Lake Lure,North Carolina,Dam Failure,Officials have said failure of the Lake Lure Dam is 'imminent' and have urged any residents to evacuate and seek higher ground.,2024-09-27,Lake Lure Dam failure imminent,https://www.forbes.com/images/127.jpg,35.4333,-82.2167
Perry,Florida,Landfall,Helene made landfall in Florida's Big Bend region as a Category 4 hurricane with maximum sustained winds of 140 mph.,2024-09-24,Helene makes landfall in Florida,,30.1167,-83.5833
Cayman Islands,,Flooding,The system caused flooding in the Cayman Islands as a tropical storm.,2024-09-22,Flooding in the Cayman Islands,,19.3333,-81.3833
Cuba,,Tropical Storm,Tropical Storm Helene is expected to unleash mudslides and flooding in Cuba before reaching major hurricane strength on Thursday as it hits Florida with life-threatening ocean surge.,2024-09-24,Tourists bathe at a beach as Tropical Storm Helene approaches the Yucatan Peninsula in Cancun Mexico September 24 2024.,https://i-invdn-com.investing.com/trkd-images/LYNXMPEK8N0OO_L.jpg,22.00,-79.00
Florida,,Hurricane,Helene is expected to reach major hurricane strength on Thursday as it hits Florida with life-threatening ocean surge.,2024-09-24,Tourists bathe at a beach as Tropical Storm Helene approaches the Yucatan Peninsula in Cancun Mexico September 24 2024.,https://i-invdn-com.investing.com/trkd-images/LYNXMPEK8N0OO_L.jpg,27.67,-81.52
Cancun,Mexico,Tropical Storm Helene,Tropical Storm Helene hit Cancun Mexico with heavy winds and rain. Palm trees swayed in the strong winds and residents prepared for the storm's impact.,2024-09-25,Tropical Storm Helene hits Cancun,https://d3i6fh83elv35t.cloudfront.net/static/2024/09/2024-09-25T131040Z_1872747913_RC2I7AAOJP89_RTRMADP_3_STORM-HELENE-MEXICO-1024x683.jpg,21.1743,-86.8466
Tampa,Florida,Hurricane Helene,Hurricane Helene is expected to make landfall in the Big Bend or Panhandle area of Florida with storm effects expected all over the state due to its vast wind field.,2024-09-25,Hurricane Helene,https://d3i6fh83elv35t.cloudfront.net/static/2024/09/GettyImages-2173548523-1024x650.jpg,27.9708,-82.4584
Pinellas Park,Florida,Hurricane Helene,People filled sandbags at Helen Howarth Park ahead of the possible arrival of Hurricane Helene.,2024-09-25,Floridians Prepare As Tropical Storm Helene Heads Toward State's Gulf Coast,https://d3i6fh83elv35t.cloudfront.net/static/2024/09/GettyImages-2174402094-1024x576.jpg,27.8434,-82.6987
Kentucky,Kentucky,Flooding and High Winds,Hurricane Helene is expected to impact Kentucky bringing heavy rainfall and high winds. The system may cause flooding concerns and issues with wind gusts of up to 60mph.,2024-09-24,Hurricane Helene track forecast,https://www.nhc.noaa.gov/storm_graphics/AT09/refresh/AL092024_5day_cone_no_line_and_wind+png/152326_5day_cone_no_line_and_wind.png,37.8393,-84.2700
Clearwater,Florida,Tropical Storm Helene,Tropical Storm Helene is expected to impact Florida as a hurricane on Thursday. Parts of Florida are under a state of emergency.,2024-09-23,Tropical Storm Helene approaches Florida,,27.9653,-82.8084
Ochlockonee Bay,Florida,Boarding up windows,Dave McCurley boards up the windows to his home in advance of Tropical Storm Helene expected to make landfall as a hurricane.,2024-09-25,Dave McCurley boards up the windows to his home in advance of Tropical Storm Helene expected to make landfall as a hurricane in Ochlockonee Bay Fla. Wednesday Sept. 25 2024.,https://assets1.cbsnewsstatic.com/hub/i/r/2024/09/25/19784bc7-8611-480f-9fbe-73d916816592/thumbnail/620x413/8c08990fb86df2e492a6baf474ca35f8/ap24269474983649.jpg,29.9733,-84.7233
Mexico Beach,Florida,Evacuation,Hal Summers a restaurant worker in Mexico Beach Florida evacuates with a friend to Marianna a town farther inland due to the approaching storm.,2024-09-25,,,29.9433,-85.4033
Tampa Bay,Florida,Storm surge,The coast stretching from Ochlockonee River to Chassahowitzka could see between 10 and 15 feet of water and the Tampa Bay area is forecast to experience between 5 and 8 feet of storm surge.,2024-09-25,,,27.9703,-82.4572
Tallahassee,Florida,Flooding,Tallahassee Mayor John Dailey said that if the trajectory of Helene holds the area will see 'unprecedented damage like nothing we have ever experienced before as a community.',2024-09-26,Flooding in Tallahassee,https://www.nbcnews.com/images/124.jpg,30.4517,-84.2727
Asheville,North Carolina,Flooding,Asheville underwater,2024-09-26,Flooding in Asheville,https://www.nbcnews.com/images/124.jpg,35.5907,-82.5543
Valdosta,Georgia,Flooding,Valdosta community 'looks like hell',2024-09-26,Flooding in Valdosta,https://www.nbcnews.com/images/124.jpg,30.8324,-83.2835
Tennessee,Tennessee,Flooding,More than 70 still missing in Tennessee,2024-09-26,Flooding in Tennessee,https://www.nbcnews.com/images/124.jpg,36.1627,-86.7816
Asheville,North Carolina,Flooding,The mountain town of Asheville was largely cut off due to flooding with supplies being airlifted to residents.,2024-09-23,Flooding in Asheville North Carolina,https://ichef.bbci.co.uk/news/480/cpsprodpb/2fb4/live/29a520b0-7d2e-11ef-abc6-3bdcb7459e60.jpg.webp,35.5951,-82.5515
Tennessee,Tennessee,Flooding,58 patients and staff were left stranded on the roof of a hospital in the city of Erwin due to flooding and were later rescued by helicopters.,2024-09-23,Flooding in Tennessee,,36.1042,-82.4168
Pasco County,Florida,Flooding,65 people were rescued in Pasco County north of Tampa due to flooding.,2024-09-23,Flooding in Pasco County Florida,,28.3403,-82.4347
Manatee County,Florida,Flooding,Guests at a Ramada Inn in Manatee County were rescued as floodwaters rushed into the hotel.,2024-09-23,Flooding in Manatee County Florida,,27.4853,-82.5347
Suwannee County,Florida,Flooding,Authorities reported 'extreme destruction' in Suwannee County with trees falling onto homes.,2024-09-23,Flooding in Suwannee County Florida,,30.2369,-83.1737
Cedar Key,Florida,Flooding,Floating debris was seen in Cedar Key Florida due to flooding.,2024-09-23,Floating debris in Cedar Key Florida,https://ichef.bbci.co.uk/news/480/cpsprodpb/8e0e/live/a068e010-7d2e-11ef-8108-311820a0bb34.jpg.webp,29.1383,-83.0354
Holmes Beach,Florida,Flooding,A family in Holmes Beach saw water creeping into their home and had to swim out to safety.,2024-09-23,Flooding in Holmes Beach Florida,,27.4953,-82.7106
Pinellas County,Florida,Flooding,At least five people died in Pinellas County including the city of St Petersburg due to flooding.,2024-09-23,Flooding in Pinellas County Florida,,27.9142,-82.6456
